id	GENCODE	chromHMM	CAGE
TRANS_XXd4_chr1_plus_NR2	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR3	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR4	FALSE	FALSE	FALSE
TRANS_XXd4_chr1_plus_NR5	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR6	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR7	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR8	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR9	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR10	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR11	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR12	FALSE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR13	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR14	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR15	FALSE	enhancer	FALSE
TRANS_XXd4_chr1_plus_NR16	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR17	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR18	FALSE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR19	FALSE	FALSE	TRUE
TRANS_XXd4_chr1_plus_NR20	TRUE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR21	TRUE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR22	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR23	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR24	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR25	TRUE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR26	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR27	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR28	FALSE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR29	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR30	TRUE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR31	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR32	FALSE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR33	TRUE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR34	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR35	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR36	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR37	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR38	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR39	TRUE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR40	FALSE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR41	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR42	TRUE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR43	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR44	TRUE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR45	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR46	TRUE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR47	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR48	TRUE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR49	TRUE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR50	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR51	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR52	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR53	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR54	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR55	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR56	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR57	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR58	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR59	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR60	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR61	TRUE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR62	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR63	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR64	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR65	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR66	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR67	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR68	TRUE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR69	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR70	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR71	TRUE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR72	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR73	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR74	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR75	TRUE	FALSE	FALSE
TRANS_XXd4_chr1_plus_NR76	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR77	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR78	TRUE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR79	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR80	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR81	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR82	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR83	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR84	TRUE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR85	FALSE	enhancer	FALSE
TRANS_XXd4_chr1_plus_NR86	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR87	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR88	TRUE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR89	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR90	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR91	TRUE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR92	TRUE	FALSE	FALSE
TRANS_XXd4_chr1_plus_NR93	TRUE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR94	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR95	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR96	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR97	TRUE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR98	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR99	FALSE	enhancer	FALSE
TRANS_XXd4_chr1_plus_NR100	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR101	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR102	TRUE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR103	FALSE	FALSE	TRUE
TRANS_XXd4_chr1_plus_NR104	TRUE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR105	TRUE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR106	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR107	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR108	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR109	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR110	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR111	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR112	TRUE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR113	TRUE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR114	FALSE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR115	TRUE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR116	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR117	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR118	TRUE	FALSE	TRUE
TRANS_XXd4_chr1_plus_NR119	FALSE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR120	TRUE	FALSE	FALSE
TRANS_XXd4_chr1_plus_NR121	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR122	TRUE	promoter	TRUE
TRANS_XXd4_chr1_plus_NR123	TRUE	promoter	FALSE
TRANS_XXd4_chr1_plus_NR124	TRUE	promoter	FALSE
